instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp
1,2011-01-01,1,0,1,0,False,6,1,0.24
2,2011-01-01,1,0,1,1,False,6,1,0.22
3,2011-01-01,1,0,1,2,False,6,1,0.22
4,2011-01-01,1,0,1,3,False,6,1,0.24
5,2011-01-01,1,0,1,4,False,6,1,0.24
6,2011-01-01,1,0,1,5,False,6,2,0.24
7,2011-01-01,1,0,1,6,False,6,1,0.22
8,2011-01-01,1,0,1,7,False,6,1,0.2
9,2011-01-01,1,0,1,8,False,6,1,0.24
10,2011-01-01,1,0,1,9,False,6,1,0.32
11,2011-01-01,1,0,1,10,False,6,1,0.38
12,2011-01-01,1,0,1,11,False,6,1,0.36
13,2011-01-01,1,0,1,12,False,6,1,0.42
14,2011-01-01,1,0,1,13,False,6,2,0.46
15,2011-01-01,1,0,1,14,False,6,2,0.46
16,2011-01-01,1,0,1,15,False,6,2,0.44
17,2011-01-01,1,0,1,16,False,6,2,0.42
18,2011-01-01,1,0,1,17,False,6,2,0.44
19,2011-01-01,1,0,1,18,False,6,3,0.42
20,2011-01-01,1,0,1,19,False,6,3,0.42
21,2011-01-01,1,0,1,20,False,6,2,0.4
22,2011-01-01,1,0,1,21,False,6,2,0.4
23,2011-01-01,1,0,1,22,False,6,2,0.4
24,2011-01-01,1,0,1,23,False,6,2,0.46
25,2011-01-02,1,0,1,0,False,0,2,0.46
26,2011-01-02,1,0,1,1,False,0,2,0.44
27,2011-01-02,1,0,1,2,False,0,2,0.42
28,2011-01-02,1,0,1,3,False,0,2,0.46
29,2011-01-02,1,0,1,4,False,0,2,0.46
30,2011-01-02,1,0,1,6,False,0,3,0.42
31,2011-01-02,1,0,1,7,False,0,2,0.4
32,2011-01-02,1,0,1,8,False,0,3,0.4
33,2011-01-02,1,0,1,9,False,0,2,0.38
34,2011-01-02,1,0,1,10,False,0,2,0.36
35,2011-01-02,1,0,1,11,False,0,2,0.36
36,2011-01-02,1,0,1,12,False,0,2,0.36
37,2011-01-02,1,0,1,13,False,0,2,0.36
38,2011-01-02,1,0,1,14,False,0,3,0.36
39,2011-01-02,1,0,1,15,False,0,3,0.34
40,2011-01-02,1,0,1,16,False,0,3,0.34
41,2011-01-02,1,0,1,17,False,0,1,0.34
42,2011-01-02,1,0,1,18,False,0,2,0.36
43,2011-01-02,1,0,1,19,False,0,1,0.32
44,2011-01-02,1,0,1,20,False,0,1,0.3
45,2011-01-02,1,0,1,21,False,0,1,0.26
46,2011-01-02,1,0,1,22,False,0,1,0.24
47,2011-01-02,1,0,1,23,False,0,1,0.22
48,2011-01-03,1,0,1,0,False,1,1,0.22
49,2011-01-03,1,0,1,1,False,1,1,0.2
50,2011-01-03,1,0,1,4,False,1,1,0.16
51,2011-01-03,1,0,1,5,False,1,1,0.16
52,2011-01-03,1,0,1,6,False,1,1,0.14
53,2011-01-03,1,0,1,7,False,1,1,0.14
54,2011-01-03,1,0,1,8,False,1,1,0.14
55,2011-01-03,1,0,1,9,False,1,1,0.16
56,2011-01-03,1,0,1,10,False,1,1,0.18
57,2011-01-03,1,0,1,11,False,1,1,0.2
58,2011-01-03,1,0,1,12,False,1,1,0.22
59,2011-01-03,1,0,1,13,False,1,1,0.24
60,2011-01-03,1,0,1,14,False,1,1,0.26
61,2011-01-03,1,0,1,15,False,1,1,0.26
62,2011-01-03,1,0,1,16,False,1,1,0.26
63,2011-01-03,1,0,1,17,False,1,1,0.24
64,2011-01-03,1,0,1,18,False,1,1,0.24
65,2011-01-03,1,0,1,19,False,1,1,0.2
66,2011-01-03,1,0,1,20,False,1,1,0.2
67,2011-01-03,1,0,1,21,False,1,1,0.18
68,2011-01-03,1,0,1,22,False,1,1,0.14
69,2011-01-03,1,0,1,23,False,1,1,0.18
70,2011-01-04,1,0,1,0,False,2,1,0.16
71,2011-01-04,1,0,1,1,False,2,1,0.16
72,2011-01-04,1,0,1,2,False,2,1,0.14
73,2011-01-04,1,0,1,4,False,2,1,0.14
74,2011-01-04,1,0,1,5,False,2,1,0.12
75,2011-01-04,1,0,1,6,False,2,1,0.12
76,2011-01-04,1,0,1,7,False,2,1,0.12
77,2011-01-04,1,0,1,8,False,2,1,0.14
78,2011-01-04,1,0,1,9,False,2,1,0.16
79,2011-01-04,1,0,1,10,False,2,2,0.16
80,2011-01-04,1,0,1,11,False,2,1,0.22
81,2011-01-04,1,0,1,12,False,2,1,0.22
82,2011-01-04,1,0,1,13,False,2,1,0.24
83,2011-01-04,1,0,1,14,False,2,1,0.26
84,2011-01-04,1,0,1,15,False,2,1,0.28
85,2011-01-04,1,0,1,16,False,2,1,0.3
86,2011-01-04,1,0,1,17,False,2,1,0.28
87,2011-01-04,1,0,1,18,False,2,1,0.26
88,2011-01-04,1,0,1,19,False,2,1,0.24
89,2011-01-04,1,0,1,20,False,2,1,0.24
90,2011-01-04,1,0,1,21,False,2,1,0.22
91,2011-01-04,1,0,1,22,False,2,1,0.22
92,2011-01-04,1,0,1,23,False,2,1,0.2
93,2011-01-05,1,0,1,0,False,3,1,0.2
94,2011-01-05,1,0,1,1,False,3,1,0.16
95,2011-01-05,1,0,1,2,False,3,1,0.16
96,2011-01-05,1,0,1,4,False,3,1,0.24
97,2011-01-05,1,0,1,5,False,3,1,0.22
98,2011-01-05,1,0,1,6,False,3,1,0.2
99,2011-01-05,1,0,1,7,False,3,1,0.18
100,2011-01-05,1,0,1,8,False,3,1,0.2
101,2011-01-05,1,0,1,9,False,3,1,0.22
102,2011-01-05,1,0,1,10,False,3,1,0.22
103,2011-01-05,1,0,1,11,False,3,1,0.26
104,2011-01-05,1,0,1,12,False,3,1,0.26
105,2011-01-05,1,0,1,13,False,3,1,0.28
106,2011-01-05,1,0,1,14,False,3,1,0.3
107,2011-01-05,1,0,1,15,False,3,1,0.3
108,2011-01-05,1,0,1,16,False,3,1,0.3
109,2011-01-05,1,0,1,17,False,3,1,0.24
110,2011-01-05,1,0,1,18,False,3,1,0.24
111,2011-01-05,1,0,1,19,False,3,1,0.24
112,2011-01-05,1,0,1,20,False,3,1,0.22
113,2011-01-05,1,0,1,21,False,3,1,0.2
114,2011-01-05,1,0,1,22,False,3,1,0.18
115,2011-01-05,1,0,1,23,False,3,1,0.2
116,2011-01-06,1,0,1,0,False,4,1,0.18
117,2011-01-06,1,0,1,1,False,4,1,0.16
118,2011-01-06,1,0,1,2,False,4,1,0.16
119,2011-01-06,1,0,1,4,False,4,2,0.16
120,2011-01-06,1,0,1,5,False,4,2,0.14
121,2011-01-06,1,0,1,6,False,4,2,0.14
122,2011-01-06,1,0,1,7,False,4,2,0.16
123,2011-01-06,1,0,1,8,False,4,1,0.16
124,2011-01-06,1,0,1,9,False,4,2,0.18
125,2011-01-06,1,0,1,10,False,4,1,0.2
126,2011-01-06,1,0,1,11,False,4,1,0.22
127,2011-01-06,1,0,1,12,False,4,1,0.26
128,2011-01-06,1,0,1,13,False,4,1,0.26
129,2011-01-06,1,0,1,14,False,4,1,0.28
130,2011-01-06,1,0,1,15,False,4,1,0.28
131,2011-01-06,1,0,1,16,False,4,1,0.26
132,2011-01-06,1,0,1,17,False,4,1,0.22
133,2011-01-06,1,0,1,18,False,4,1,0.22
134,2011-01-06,1,0,1,19,False,4,1,0.22
135,2011-01-06,1,0,1,20,False,4,1,0.2
136,2011-01-06,1,0,1,21,False,4,2,0.22
137,2011-01-06,1,0,1,22,False,4,2,0.22
138,2011-01-06,1,0,1,23,False,4,2,0.2
139,2011-01-07,1,0,1,0,False,5,2,0.2
140,2011-01-07,1,0,1,1,False,5,2,0.2
141,2011-01-07,1,0,1,2,False,5,2,0.2
142,2011-01-07,1,0,1,4,False,5,2,0.2
143,2011-01-07,1,0,1,5,False,5,3,0.22
144,2011-01-07,1,0,1,6,False,5,2,0.2
145,2011-01-07,1,0,1,7,False,5,1,0.2
146,2011-01-07,1,0,1,8,False,5,1,0.2
147,2011-01-07,1,0,1,9,False,5,1,0.2
148,2011-01-07,1,0,1,10,False,5,1,0.22
149,2011-01-07,1,0,1,11,False,5,2,0.2
150,2011-01-07,1,0,1,12,False,5,2,0.2
151,2011-01-07,1,0,1,13,False,5,2,0.2
152,2011-01-07,1,0,1,14,False,5,2,0.2
153,2011-01-07,1,0,1,15,False,5,2,0.2
154,2011-01-07,1,0,1,16,False,5,2,0.2
155,2011-01-07,1,0,1,17,False,5,2,0.2
156,2011-01-07,1,0,1,18,False,5,1,0.2
157,2011-01-07,1,0,1,19,False,5,1,0.16
158,2011-01-07,1,0,1,20,False,5,1,0.18
159,2011-01-07,1,0,1,21,False,5,1,0.18
160,2011-01-07,1,0,1,22,False,5,2,0.18
161,2011-01-07,1,0,1,23,False,5,2,0.18
162,2011-01-08,1,0,1,0,False,6,2,0.18
163,2011-01-08,1,0,1,1,False,6,2,0.18
164,2011-01-08,1,0,1,2,False,6,2,0.18
165,2011-01-08,1,0,1,3,False,6,3,0.18
166,2011-01-08,1,0,1,4,False,6,3,0.18
167,2011-01-08,1,0,1,5,False,6,2,0.16
168,2011-01-08,1,0,1,6,False,6,2,0.16
169,2011-01-08,1,0,1,7,False,6,2,0.16
170,2011-01-08,1,0,1,8,False,6,3,0.16
171,2011-01-08,1,0,1,9,False,6,3,0.16
172,2011-01-08,1,0,1,10,False,6,2,0.18
173,2011-01-08,1,0,1,11,False,6,2,0.2
174,2011-01-08,1,0,1,12,False,6,2,0.2
175,2011-01-08,1,0,1,13,False,6,1,0.2
176,2011-01-08,1,0,1,14,False,6,1,0.2
177,2011-01-08,1,0,1,15,False,6,1,0.2
178,2011-01-08,1,0,1,16,False,6,1,0.18
179,2011-01-08,1,0,1,17,False,6,1,0.16
180,2011-01-08,1,0,1,18,False,6,1,0.14
181,2011-01-08,1,0,1,19,False,6,1,0.14
182,2011-01-08,1,0,1,20,False,6,1,0.12
183,2011-01-08,1,0,1,21,False,6,1,0.12
184,2011-01-08,1,0,1,22,False,6,1,0.12
185,2011-01-08,1,0,1,23,False,6,1,0.1
186,2011-01-09,1,0,1,0,False,0,1,0.1
187,2011-01-09,1,0,1,1,False,0,1,0.1
188,2011-01-09,1,0,1,2,False,0,1,0.1
189,2011-01-09,1,0,1,3,False,0,1,0.1
190,2011-01-09,1,0,1,4,False,0,1,0.08
191,2011-01-09,1,0,1,5,False,0,1,0.08
192,2011-01-09,1,0,1,6,False,0,1,0.1
193,2011-01-09,1,0,1,7,False,0,1,0.08
194,2011-01-09,1,0,1,8,False,0,1,0.1
195,2011-01-09,1,0,1,9,False,0,1,0.12
196,2011-01-09,1,0,1,10,False,0,1,0.14
197,2011-01-09,1,0,1,11,False,0,1,0.16
198,2011-01-09,1,0,1,12,False,0,1,0.18
199,2011-01-09,1,0,1,13,False,0,1,0.2
200,2011-01-09,1,0,1,14,False,0,1,0.22
201,2011-01-09,1,0,1,15,False,0,1,0.22
202,2011-01-09,1,0,1,16,False,0,1,0.2
203,2011-01-09,1,0,1,17,False,0,1,0.18
204,2011-01-09,1,0,1,18,False,0,1,0.16
205,2011-01-09,1,0,1,19,False,0,1,0.16
206,2011-01-09,1,0,1,20,False,0,1,0.14
207,2011-01-09,1,0,1,21,False,0,1,0.14
208,2011-01-09,1,0,1,22,False,0,1,0.14
209,2011-01-09,1,0,1,23,False,0,1,0.12
210,2011-01-10,1,0,1,0,False,1,1,0.12
211,2011-01-10,1,0,1,1,False,1,1,0.12
212,2011-01-10,1,0,1,2,False,1,1,0.12
213,2011-01-10,1,0,1,3,False,1,1,0.12
214,2011-01-10,1,0,1,4,False,1,1,0.1
215,2011-01-10,1,0,1,5,False,1,1,0.1
216,2011-01-10,1,0,1,6,False,1,1,0.12
217,2011-01-10,1,0,1,7,False,1,1,0.12
218,2011-01-10,1,0,1,8,False,1,2,0.12
219,2011-01-10,1,0,1,9,False,1,2,0.14
220,2011-01-10,1,0,1,10,False,1,2,0.14
221,2011-01-10,1,0,1,11,False,1,2,0.16
222,2011-01-10,1,0,1,12,False,1,2,0.2
223,2011-01-10,1,0,1,13,False,1,2,0.2
224,2011-01-10,1,0,1,14,False,1,2,0.2
225,2011-01-10,1,0,1,15,False,1,2,0.2
226,2011-01-10,1,0,1,16,False,1,1,0.2
227,2011-01-10,1,0,1,17,False,1,1,0.2
228,2011-01-10,1,0,1,18,False,1,1,0.2
229,2011-01-10,1,0,1,19,False,1,1,0.16
230,2011-01-10,1,0,1,20,False,1,1,0.16
231,2011-01-10,1,0,1,21,False,1,1,0.14
232,2011-01-10,1,0,1,22,False,1,1,0.14
233,2011-01-10,1,0,1,23,False,1,1,0.14
234,2011-01-11,1,0,1,0,False,2,1,0.14
235,2011-01-11,1,0,1,1,False,2,1,0.14
236,2011-01-11,1,0,1,2,False,2,2,0.16
237,2011-01-11,1,0,1,5,False,2,2,0.16
238,2011-01-11,1,0,1,6,False,2,2,0.16
239,2011-01-11,1,0,1,7,False,2,2,0.16
240,2011-01-11,1,0,1,8,False,2,2,0.18
241,2011-01-11,1,0,1,9,False,2,2,0.18
242,2011-01-11,1,0,1,10,False,2,2,0.2
243,2011-01-11,1,0,1,11,False,2,2,0.2
